State_And_County_FIPS_Code,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,ALE,Health_Status,LBW,VLBW,Premature,Under_18,Over_40,Late_Care,Infant_Mortality,Unmarried,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,Suicide,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Ecol_Exp,Salm_Rpt,Salm_Exp,Shig_Rpt,Shig_Exp,FluB_Rpt,FluB_Exp,HepA_Rpt,HepA_Exp,HepB_Rpt,HepB_Exp,Pert_Rpt,Pert_Exp,Syphilis_Rpt,Syphilis_Exp,No_Exercise,Obesity,Smoker,Diabetes,Uninsured,HPSA_Ind
48-421,-1.4490332278083324,-0.5154880410118703,1.462572106491503,1.1685162221582588,1.1739823165486063,-0.9138921509156905,0.4493479846921885,0.07878246340077637,0.7068082862577092,-0.672618714107032,-0.019104935896710633,0.28703181728987465,0.7322080576451353,-0.08238120446858324,-0.5182107472585984,0.3698174441777985,-0.5993919626357241,-0.3666654406011676,-0.29417455492611577,-0.291922455562297,0.5382279708085649,0.646296338564703,0.12584490129141315,-0.5578113527334169,-0.8064809724537132,-0.4762605250160265,-0.32605648513664076,-0.4659402030317854,-0.2324840093793619,-0.6414072551790827,-0.6127609374618409,-0.0809783527336622,0.020833750910439965,0.03127893060143978,0.10046130953908329,0.3896160329933826,-0.13601336190646163,-0.22654155644256072,-0.07426669584301623,0.13867628581982322,-0.07398938513338184,-0.09008901541460301,-0.06415156943226877,0.04974178198104188,-0.003218545994039633,-0.030057196376041713,0.09108098093965362,-0.012483640329331988,-0.008964279473811572,-0.0902250145478053,-0.0023666335614585493,-0.02287984607155998,0.0007841594266508251,1
51-147,-0.47764653587794637,2.71071479394152,1.1730865520681444,-2.1559069826576467,-2.5197929924044664,-0.676984165401555,0.4263911108347754,-0.3041728013331342,-0.9718974770895762,1.1911707681616266,-1.3812929182866431,-0.9293568898221322,0.7201589492186271,-0.7692917767488107,-0.2651595320752741,-0.10117447343020253,-0.055050947528119065,0.5916769869484189,-0.26699157354245207,-0.40540069483771374,0.49063741959490326,0.06702788159656774,0.22671593637255358,-0.04734446845934274,-0.22107740213372118,0.7303828751915805,0.5788867988890196,0.9392477002905031,-0.8265076826724772,0.47322638468102923,0.41432050436069107,-0.5785431338538162,-0.06204166486479597,0.2724891892672672,-0.3635951162293203,0.35822752965849225,0.04832822394517012,-0.260072937525785,0.09593264238953529,0.15305892291850218,-0.20716651060223343,0.06414611053316352,0.07277337783144767,0.13206834047307262,-0.06678867822786703,-0.012805097537703557,-0.033824688038110375,-0.08435801130967568,-0.024095629523226112,0.03246560494955703,-0.006363934450623893,0.0016217102170691883,-0.0005273872527214519,2
38-53,-1.5965325598068207,1.0142425420651435,1.1458049082005686,0.8191703849522726,-1.1930968489076614,2.859097286322778,-0.9216823468802217,-1.564057370786629,-2.204390208616727,-0.39275545004568535,-0.3588986632294581,0.329450240503878,2.870745100250204,-1.500716412562386,-1.8425868170771862,-0.11960263493974758,-2.6372877651239093,1.405676255532607,0.07391756405338588,0.9101604396947509,-0.5808214872085746,-0.3217125194146705,0.47294042471307157,1.4453293137675443,0.7808312977285295,-0.45430614126247093,0.763835911728685,0.2559029760765252,0.3752672166817498,0.16264549527273509,-0.1369215725660704,0.03187064083271376,-0.34473813021860794,0.29310272471382515,0.5180143306620544,0.10620071849368971,0.1491364971786998,0.06528085017825577,-0.4627225112045155,0.32841458374336857,-0.06369504079135563,-0.11552801537655619,-0.03535669411396215,0.030467005620197322,0.10052127283918076,-0.038474445192785256,0.08674483627005747,0.004499014223923703,0.029813521972605297,-0.05497696978558937,-0.017965504663317765,-0.0023029023548563907,-0.012550472257178069,1
31-17,-1.7279277895502756,-3.485757603942725,-1.164448322730631,1.8409261948785487,-2.0462032294166366,-0.037384133458635935,-0.6361153729594639,-0.9516943771688648,-1.1265081869190756,-0.16122784497213283,0.3431065002192794,0.20160897271607184,1.0534673957904626,-0.9400802484439497,-0.15218791028711234,-0.04487821724389956,0.8870067121345245,0.2792288371216262,0.5532739785081091,-0.24583257303511777,-0.044263719667397596,-0.003654598097731512,-0.06942087837944352,-0.018033606682451787,0.4763882653127106,-0.25270317796197045,-0.2657717642432155,-0.09197238456759729,0.3418676017243957,0.09910098691081182,-0.12404497132522216,-0.4879951160252701,-0.1527424650809647,0.3625546413004078,-0.053257492340522655,-0.29920319523844674,0.03626777022009656,-0.010918669744419756,0.34971274982125944,-0.04708142290329317,0.08391392806760672,0.02118821562994131,-0.010784918177740101,-0.03273640878510494,-0.04245584642130489,-0.0035901304785731438,0.021458004390976445,0.007920632492825933,0.006085847253667868,0.029079770498419467,-0.008188880224913837,0.00036282471639943753,0.00138716037505468,2
26-145,2.4932480026649344,1.247644871306042,-0.24810556208199297,-0.6120930848905309,-0.5405953163911458,-0.4375397541648983,-1.1383992854341356,-0.9031962286885029,-0.3246771037956266,-0.9574817455167712,-1.0722644898015075,0.8923640734942072,0.16409664977961466,0.20437109532617587,-0.315118271781383,-1.3938850079945604,0.16356711739015897,0.10867312954300766,-0.3955398296043641,0.7863230717470321,-0.18053048593492402,-0.8233839734497711,-0.07862503130479358,0.5188184845869388,-0.7496391846662329,-0.4089909532417026,0.2503140910329625,0.2640607465077902,-0.12642294927110445,-0.6460205078557353,-0.05523323249571298,-0.39883985650221093,-0.1950361691576203,-0.2602471373603661,-0.14620491418671516,-0.20369956363657243,0.21969499380003094,0.646724063767982,-0.11029147238371145,0.14655329641199394,-0.0647803983261059,-0.14650796910439123,0.5452650484933891,-0.6742240481148444,-0.6109814041957634,0.3062026199618462,-0.08457322575648665,-0.03260947295108122,-0.09401757724054323,-0.060428511450408305,0.042832495899551966,0.014968948564948927,0.0034220116293630014,2
25-23,9.722099774832136,-3.1962479459245454,0.45167435125614114,-2.564118887970682,0.31899028638326726,0.2608644858638641,-2.9567755397228717,-0.7567374978930203,0.6882479433578716,0.7750148868146699,1.5510279875023192,-1.711634126308163,-0.11857313893300411,-0.34443800066572317,2.1937857647653454,0.25023063560591385,-0.5471117878498566,-1.268411473335049,-3.1449855663875947,-2.498724258482229,0.5187658101806445,-0.8275864544088141,3.3830387940642352,-0.15722542085850474,0.0529823355186731,0.021826193529390626,0.5809453551436007,-0.2245243556352971,0.6334188846877766,1.3976533348728213,-1.197039410472117,0.7276863412412045,0.29264136076399666,0.533837007602084,-0.8988804195079861,0.7895464405585465,0.9709272977595821,0.6794885937941075,0.1647834805754783,0.35067551440120215,0.6438518303817948,0.2071815096275121,-0.3632474216556846,-0.26347051827609236,-0.5783126733760461,-0.19921062661563313,0.5062866413710395,-0.616476745199748,0.15951949826072304,-0.06268742696840125,-0.09075447621727972,0.020272659723721435,-0.0004501296622470876,2
22-123,-1.4178995857202823,2.7425005986265334,-1.2645133953429057,0.16873543621698806,0.3857859674636344,-1.1334338331852079,-0.3404463158199924,-0.7804305387539022,-1.0008609001769726,-0.5658021267218268,-0.1659141126504702,0.7617799966153068,0.9631410608290376,0.6681058329680662,0.14461568242685968,0.6681820119748211,1.4960834781446894,-1.30478406925129,0.4662773690527605,-0.3472027569477579,0.0085076041554141,-0.24975151653148395,0.23470755412778618,0.6974066141281826,-0.06392076783267224,0.6842024476899495,-0.1708918860495657,-0.00016411292226235115,-0.5136832939382128,0.3770965576082051,0.48041790931850864,0.32948542170155004,0.44433616699289485,-0.36463516171822474,-0.15341106344023983,-0.3612557987488167,-0.007025938961160487,0.13855095845957627,0.0919673578286331,-0.09054530815474336,-0.1215295959636422,-0.1434876344900869,-0.1609452142145714,0.09501419451639205,-0.005844105297451761,-0.09567821606332876,-0.07833367538640444,-0.021607640168488075,-0.012648464882014859,0.04481957762791225,-0.001171954428781662,-0.0151498807057418,-0.001849595472767226,1
38-45,-1.820983640264932,-3.35911352272433,-1.4220617509449063,2.098173681641315,-2.4564106384108544,0.13443040336705808,-0.3746777263589265,-0.05065479174963844,-1.2693385584873231,-0.3706107329455453,0.6430048662528759,0.2714619945453174,0.5335657796571677,-0.503761506469861,-0.528409565895929,0.7160239463879223,0.09587226670034471,-0.5690710433748187,0.10290061212400088,-0.6124764902123324,-0.13747061116944176,-0.5736728083025608,-0.47114831330725315,-0.8828776871454527,0.19285894743473628,0.4647916177320346,-0.2619162914165472,-0.3460714761790668,-0.4151304017817878,0.7348054096306683,0.1650970902571317,-0.34213171491494226,-0.4020231570806359,0.4241522909183964,0.06474741473505106,0.17053204823828721,-0.14895978934869078,-0.06147261012269643,0.2772212434819865,-0.059850567784680196,0.03947886927418981,0.017560751432898734,-0.03556364134068536,-0.020628197718528113,-0.06825609218914593,-0.00713653078487418,-0.048273690669685246,-0.02084376979470615,0.010135411092358316,0.046005103526317315,0.002209717675099171,-0.010690663781485506,0.014977089249771631,1
35-61,0.7802310662559296,0.46564301376649986,2.95088432091996,1.4906292712423703,0.9303753578399615,-2.157493853759206,1.0077661591695337,0.8511013922893912,-0.5356749112130487,-0.05267418704811759,0.6774403558239205,-0.4913380994007495,1.0351773216799471,-0.36337160864787343,0.7039494213916436,0.5843715324587023,-0.24612159304013054,-0.16346839988758305,-0.30057496700381864,0.6576320210898514,0.46021358606177076,0.26602271587039483,0.15183022696783768,0.11368420505437274,0.18561867342167168,0.07341563965468118,0.08408761588932419,-0.3800397073223988,-0.49112537229463654,-0.2639423155464535,0.13447229916912207,0.5704088464896525,-0.6935127667975958,-0.5875357663306416,0.11520130248232845,0.1311191012726534,0.40357098554301596,0.04815244166589878,0.3474936731423203,-0.063015909650041,0.06377035731119976,0.037683170897169764,0.22562077110077647,-0.3997077220377173,-0.015240549306365245,-0.1404471616582065,-0.22885237315648,-0.036661313071562444,-0.04987524154906454,0.007827049384488962,0.041322348757045504,0.0032154532661742754,0.0015310619203395275,1
5-59,-0.7389465412809223,0.4531320408821248,-0.8824253692822893,0.17274644082634372,1.3972909799816415,-0.41541587668465607,-0.4827225596968414,-0.37835751350167424,-0.863278110114061,0.31055664819817663,-0.2956415935708585,0.18027066970287817,-0.0033594934492866702,1.3279533603839146,0.9404889371365699,0.39873908621682647,0.6538560191886708,-0.9817750936296765,-0.5803881481569495,-0.7124615629539904,-0.16834902401340998,0.2707204151008863,0.6760489685047467,0.2751716151009086,0.1124911457412973,0.14129445233748386,0.5994434255501367,0.48337968124564246,0.10757603669216942,0.051952516651000355,-0.482591775861332,0.0005332239596543436,0.019420191139178294,0.1567942756418051,0.1264132793476052,-0.20952556012468332,0.1791164974207766,0.12432940142164903,0.11097502615205525,0.0028966565853489694,0.048653432149282486,0.006404822025163298,0.10994509369715541,0.3130538384526605,-0.11688855427976806,0.00988609954358575,0.14324902692676614,0.053266613370599944,-0.025905524915994155,-0.05174241891846401,0.008909653327947083,0.0157110014460024,-0.0025904086241382344,2
