State_And_County_FIPS_Code,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,ALE,Health_Status,LBW,VLBW,Premature,Under_18,Over_40,Late_Care,Infant_Mortality,Unmarried,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,Suicide,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Ecol_Exp,Salm_Rpt,Salm_Exp,Shig_Rpt,Shig_Exp,FluB_Rpt,FluB_Exp,HepA_Rpt,HepA_Exp,HepB_Rpt,HepB_Exp,Pert_Rpt,Pert_Exp,Syphilis_Rpt,Syphilis_Exp,No_Exercise,Obesity,Smoker,Diabetes,Uninsured,HPSA_Ind
30-27,-1.2314924002396235,-2.941447161498046,-0.33224132017617486,1.0873028180552657,-1.393152124839838,0.9517000008529238,-0.055397566638785346,0.12586553307280374,-0.15747998812183556,0.28471375977541624,-0.2003051109654572,0.21394334422818057,-0.04260667618009089,0.31639579763963965,-0.012534949142126616,0.12373886058824962,-0.023435668066137245,-0.5602951492711357,-0.04998038257096311,0.4170085150054554,0.42539760970986296,0.8671603079247666,0.19322094490543476,0.6102456286596818,-0.22241736708887758,0.22037587462248254,0.0561195117789313,0.7307606327632409,-0.11688679421072752,0.46662293699103746,0.7471402205802886,0.09824355948916008,-0.22320496539908113,0.24721931712585368,-0.29693895565510364,0.21986163046739965,-0.19050022453610077,-0.10561089635509258,-0.1836860116606765,-0.31657669821294443,0.06960086212466078,0.10172915407889434,-0.06808350188488824,0.030532087155880724,0.08697599238733215,0.04485261598179295,-0.039984963489002275,-0.012618727308574267,-0.04029151135021356,0.0029408562972036726,0.007296975932657535,0.01761387169339682,-0.0024328382931855675,2
48-437,-1.3653607934554035,2.6189897956103705,1.3054151285901407,1.9270573629211396,-1.5138134535053764,-2.6136511483995655,-0.012492807752954103,0.5922486585353626,1.1244066111589168,-0.0852231940295014,0.23805608581728524,-0.7680180266659055,0.7164663285389634,-0.8494782508157556,0.8050447539632904,-1.019125882575585,-0.7329953183116997,0.4349659579187034,0.6796764912561752,0.09310906897117749,-1.0126691296773762,-0.5522784898443086,0.29027075119658463,-1.1164199997583861,0.5884853417962945,0.6588671777117244,-0.979123218869993,0.4525571937214358,0.054418438294803445,0.26961847082039536,0.042945308697009854,0.39376234549923034,0.5930826369666511,-0.13314639099573916,0.31843906093116253,0.08145527028119148,0.21564902692884103,-0.12128308128723611,-0.5449595166480269,0.10657308229207803,-0.008334144784687612,-0.021650192657361268,0.04715760259410939,-0.08942532282932736,0.013817786883940732,0.083430565313172,0.05691295644612526,-1.993493333545905e-05,-0.012097137927317576,0.034420001371118794,-0.011130502751311116,0.017721211341127426,-0.016852811715494926,1
19-131,-1.359662561498743,-3.5853559425758252,-0.6726710956994971,1.9077962262210715,-1.4708361678059414,0.44162103826948507,-0.3195229038399118,-0.17918285661354683,0.9326002864349968,0.21636952459669392,-0.547383670287474,-0.20192621182588752,0.05963413829254431,-0.7838318201401129,-0.9380312606619472,1.0430976049910414,-0.5777190064535224,-0.1217644561730356,-0.1302774170884116,-0.2241901159943635,0.06979943285536161,0.030434968218860988,-0.3729090132939247,-0.38143728930960263,0.9866570269246846,-0.44173478356189605,0.4440113763922001,0.8495855160610308,0.6303642575590874,-0.405481435235183,-0.27739028918124237,-0.46670168243775195,-0.5262914412541018,0.44150998809474773,0.6319501077231536,0.35869200238964244,0.10226277032500138,-0.08232463044073518,0.08812119260201276,0.08285418175740443,0.1043195154634853,0.05358531166522335,0.061946483561235235,-0.06487582459921071,-0.0540452074427766,-0.0012487251951070915,0.002451112608253554,-0.01001208566670409,0.025432788079188674,-0.020862313424971093,-0.015515317356247066,-0.026866888829140245,0.01590080110771071,1
38-13,-1.9512428023622415,-3.5459519951459084,-1.9433966290357594,1.1887044854664857,-2.295883711709212,0.8476037906863328,-0.02764194815442687,0.5219243744319918,0.4427574473230658,0.6599761530672539,-0.640253224757035,0.1554180056375494,0.28588201098304766,0.7593940890723714,-0.5972414921709926,0.012276673628307666,0.25186549415009624,-0.5832748886726496,0.21086261925564115,0.2314669550449155,-0.18710768369548747,0.38408829333729816,0.38058149884669046,1.6142217710662266,-0.058340774982964555,0.5236714519059572,-0.38686324514222475,-0.495395419784448,-0.16849105439352283,0.12930884164077913,-0.07170113686106584,0.32606440468459946,0.06957229911311176,0.5513980877688769,0.38578218554850197,-0.11972338369934128,0.11880406263719528,0.24494915450253457,0.4612657111847316,-0.11561337575256679,0.22587776196247528,0.06852774873898278,0.031109542178694972,-0.03721611894164945,-0.08857671955619982,-0.02039526621374957,-0.07234548689218558,0.007321059110257387,0.0015563524603030272,-0.0072573673482949,0.00457328836097756,-0.0011868077965996656,0.001565263921578554,1
19-27,-0.6802174130646765,-3.8554371123819315,-1.0827227904258614,-0.04940851599851902,-1.564223767990249,0.5624650636301917,-0.029484669103999783,-0.5609977841822917,1.6817232214686741,-0.14610344022007984,-0.9075168528709111,0.1493442338886421,0.13591668209322733,0.3903389370654871,0.018450652948836684,-0.8110395239018025,0.26693850964350735,0.6503798083410741,-0.008819730215680738,-0.7519630973438648,0.2622009405030691,-0.39929622339787374,-0.06649821284457531,0.17304083080081806,0.11336687566476586,0.28045172936927615,-0.15435853363012772,-0.37439447099768075,0.0992256077936829,-0.508634858689564,-0.39911014180006604,0.08711259912854806,-0.5267095155345565,0.01955874526206233,0.06599199960546019,-0.11725197467868383,0.1650982517590249,0.1772161816129511,-0.3442381892132383,-1.1055086924987216,0.3880633426620334,0.031048561618672137,-0.05302073579758782,0.006842660614205731,0.12588238678986596,0.05863395581440558,-0.13634408539092222,0.021674386018695917,0.060188758640343926,0.1381910455198992,0.03695721785329228,-0.011605693364417633,0.0026778652468966856,2
20-81,-1.3755663139209828,-1.4761575591763676,1.9918341182734483,1.4961452286552626,1.0276471236193858,-1.3111715108940878,0.9371006301238752,0.3523398650450082,2.087178632308404,-0.4499791300449309,-0.8004592633417996,0.5908068084179464,-0.043305730613751356,0.16584936356020422,-1.1072464332099858,1.190667466672291,-0.7842530059332241,-1.9810984044905342,0.08695046510230549,-0.2023473332373451,-0.6613606414248567,-0.061478145214269975,0.036246976596921145,-1.0218215021991732,0.1679427689317502,-0.14694876812306665,-0.3412827807844474,-0.5614646984603529,-0.15059956187916493,-0.001446772325656385,-0.015432224409205875,-0.07347949967844782,-0.08149028727292036,-0.05107846387541994,-0.10109659257510094,0.05164852001054261,-0.10189853070167304,0.1958665020893286,0.47121198232422923,0.09773602049158453,0.05372371795155226,-0.07739103041654352,-0.06092942816362703,0.000583521115638753,-0.022530640993446958,-0.05625627717460737,0.06021277794394576,-0.027738528984699428,0.01891944540201295,-0.026134876179021795,-0.013308274568504417,-0.0007674712319541635,-0.0018003121313611516,1
20-11,-1.0014006927192085,-0.396034372317452,-0.9645943954838754,0.9720143087380867,0.16943316506068043,-0.045976354506832906,-0.09421872929514978,-0.3553906836232144,-0.0805726154085811,0.693216594188313,-0.9729665842422358,-0.40361724262722526,0.3918252407654084,0.8269843259557026,0.5246495746546911,0.24042366444007304,0.06794650297654871,0.7110168228098733,0.7637773032675994,-0.942541049879973,0.6118173780671432,-0.1480258022083453,-0.13711496526133168,0.23783595751497572,0.8932731205147922,0.08841589510020316,0.23425263677664235,-0.17056625612237822,0.5127637908858241,-0.22248847490115084,0.10168198526897054,0.059395630676818426,-0.1932795123412274,0.0649507940310174,0.6717986158882895,0.06758292551435797,0.627080555405597,0.17414780253090054,-0.4661633345785066,0.16949716998396672,-0.1680506596605783,-0.09682573544993657,0.029199699452852775,0.016558367193001376,0.21196527697351314,0.06337116879179983,-0.006454769651488948,0.04645876300360258,-0.06488981801208746,-0.10890158168306129,0.012426796509342475,0.020176908279636818,0.0002433715603176181,2
42-129,4.894162497758461,-1.9042876694085145,-1.5866416151222729,-0.19964026452022926,-0.315521031816258,0.3519825958795142,-1.0617925385422655,-1.0821922489766038,-0.5716151862744351,-1.1717828284926965,1.2430100622201776,-0.9709077023265134,-0.2726310054316892,0.7507192964021425,-0.3446187576958454,-0.7260331050784409,-0.4771956286058472,-1.1665118947926,-0.7191825937766152,0.8320547024822964,-0.22028344127050667,-0.734747206321269,-0.7370781342620422,-0.398141618103031,-0.03532244668268021,-0.3628118105918204,-0.10008640957912322,0.12338932889193449,0.026018141784190447,0.5246221894761,-0.7179255724576662,0.7055978741430635,0.1735440136238848,0.6722516202005971,-0.7101987904313737,0.39585422774574597,-0.05652263272103738,0.8293646016458541,-0.1482429779611962,0.3225452081770512,0.4177636939816078,-0.08998369746085251,-0.25130355763059176,-0.3324431779143826,0.12866129353834177,0.41052880460424745,-0.367024195808298,0.21297020797740426,0.17527179422859063,-0.027867959435394038,-0.1051382465697556,0.009256588402347424,-0.01723904775273967,2
37-81,8.258344271452168,0.9914101506285179,0.5475715104852933,-1.7481574974131928,-1.6789318677509353,0.02082828074992535,0.7130333939719594,-1.303531662514977,-0.004642782979421479,0.5469703858182271,1.5904745931113917,0.1555737073011734,0.08078813204344262,1.5168629596778958,-1.3926104598082591,-0.6853221348114209,0.5562589905699473,0.5264570456437655,0.3806638076148914,-0.1936663274485129,-0.1570994394235262,0.019026637381953888,-1.3671038095198402,-0.3863785016733243,-0.2067639233586913,-1.070802490201984,-0.03551340983350577,0.8280776397908539,0.09964724944373564,1.0161712902791113,-1.7427134200603123,1.627630149578506,-0.24170941578961852,0.9225859081136554,-1.2591431150042784,-0.06616362009824821,-0.9820490036326373,0.8935955664139735,-0.03768479438833186,0.8912988777373615,1.0182577333887524,-0.23932764488454006,-0.3605819239117894,-0.6260638827409307,0.26753611652642695,0.2967872901611217,0.009215867629346518,-0.28637967302988687,0.09437667399988214,0.05101286503004914,0.02997256871303007,0.004576006765840268,0.00045555620170620716,2
24-41,-0.698330364508413,-2.6317477774461406,-0.7192925831877162,0.16417557324231724,-2.427890254506073,0.5184416282669678,0.05182473518452135,-0.23613169522883642,0.098502221787001,0.09851540358309466,0.012645579287317736,-0.17758098880305753,-1.3731572944807613,0.44601071582341434,0.2978889525904247,-0.6100803605771249,0.36660949979309093,0.7681002822458411,-0.2520216787211687,-0.021619888958202625,0.04234628885911515,0.1325975317347695,-0.1391582330758607,-0.1017264124721017,0.16129657471981043,0.013710088534417273,0.29923561726232195,-0.250310645506362,-0.3536190104889626,-0.31718797760182643,-0.5554127416205481,-0.020922005563527538,0.017263792656693856,-0.1463304219359012,-0.2773471788887739,0.13648459877708544,0.01904221119025984,0.10773739884455197,0.2691121587854064,0.07239870436607956,0.02287791810594515,0.14664960181590944,-0.16166583632411993,0.12168222989326732,0.044002521503737894,-0.07191043963882526,0.0060811415367194,0.0004928821799606115,-0.04213729750940742,-0.06821186361762113,-0.01815554327880936,-0.013726875244721033,0.01838223827920527,2
