State_And_County_FIPS_Code,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,ALE,Health_Status,LBW,VLBW,Premature,Under_18,Over_40,Late_Care,Infant_Mortality,Unmarried,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,Suicide,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Ecol_Exp,Salm_Rpt,Salm_Exp,Shig_Rpt,Shig_Exp,FluB_Rpt,FluB_Exp,HepA_Rpt,HepA_Exp,HepB_Rpt,HepB_Exp,Pert_Rpt,Pert_Exp,Syphilis_Rpt,Syphilis_Exp,No_Exercise,Obesity,Smoker,Diabetes,Uninsured,HPSA_Ind
38-27,2626,4,9.5,19.7,54.7,20.9,4.6,95.8,0.1,3.7,0.2,1.0,76.8,13.8,3.8,-1111.1,7.3,-1111.1,2.7,9.7,-1111.1,15.8,-1111.1,-1111.1,127.8,44.2,-1111.1,477,75,40,156,79,2,1,1,3,1,0,1,0,0,1,0,0,0,1,0,0,-1111.1,19.7,22.4,6.5,209,2
1-41,13727,23,17.6,24.2,58.7,14.9,2.3,74.6,24.6,0.4,0.1,0.8,73.7,-1111.1,8.3,1.7,14.0,6.8,0.9,15.6,11.4,37.0,26.7,16.7,152.3,65.9,11.2,3755,271,692,783,651,0,0,21,20,3,7,0,0,0,7,2,3,2,3,16,5,-1111.1,-1111.1,-1111.1,-1111.1,2504,1
30-105,7143,1,14.6,22.5,57.5,17.4,2.6,88.2,0.2,9.9,0.3,0.9,76.8,13.2,4.5,0.9,10.5,4.5,1.8,18.3,4.9,34.9,18.0,22.0,136.1,48.4,22.2,805,148,196,522,355,1,2,7,9,0,2,0,0,3,3,0,1,4,2,0,0,29.1,21.9,21.2,7.1,1351,1
45-49,21329,38,19.4,26.6,61.0,10.8,1.7,43.5,55.9,0.3,0.2,2.9,74.7,23.7,9.7,1.9,13.9,7.7,1.2,28.5,8.2,52.2,32.2,17.6,222.8,47.1,7.3,4605,689,604,1230,1031,0,0,12,36,6,13,0,0,3,6,6,6,2,2,12,17,29.3,33.1,17.9,11.3,4031,2
4-12,20238,4,17.2,20.6,50.4,26.0,2.9,84.2,1.0,13.2,0.6,22.8,80.9,22.2,5.7,0.8,11.5,8.6,1.5,37.5,12.0,52.6,24.7,14.6,162.3,39.9,23.0,4520,521,586,1202,1068,0,2,21,26,13,15,2,2,21,22,4,6,0,2,0,0,26.6,22.0,18.1,8.3,4885,1
54-77,30115,46,16.1,21.9,63.0,13.4,1.7,99.1,0.3,0.0,0.1,0.6,75.5,21.8,9.3,2.0,11.8,2.8,1.1,11.5,10.6,29.4,18.5,22.0,263.0,57.2,11.5,5535,648,1818,2266,1276,0,0,25,28,2,13,0,0,2,3,1,3,0,1,0,4,25.9,29.6,26.2,7.7,3832,2
28-63,9432,18,27.9,27.7,62.2,8.6,1.5,13.7,86.0,0.1,0.1,0.7,71.9,-1111.1,13.6,2.6,17.4,9.6,1.2,27.6,13.6,74.1,35.1,35.8,203.8,73.1,11.3,2337,458,435,541,465,0,0,13,17,3,14,0,0,0,10,6,3,0,1,10,5,-1111.1,-1111.1,-1111.1,11.3,2211,1
31-7,733,1,8.1,23.6,61.1,13.4,1.9,99.6,0.1,0.1,0.0,6.0,76.4,-1111.1,-1111.1,-1111.1,9.4,-1111.1,-1111.1,26.4,-1111.1,17.0,-1111.1,-1111.1,178.3,-1111.1,-1111.1,29,11,16,46,29,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,-1111.1,-1111.1,-1111.1,-1111.1,234,1
48-103,3837,5,11.8,30.8,57.2,10.5,1.5,94.6,3.3,1.7,0.4,49.5,75.3,-1111.1,3.7,0.3,12.4,6.5,0.3,16.9,7.6,29.3,-1111.1,-1111.1,188.1,60.0,-1111.1,723,86,134,192,168,0,0,0,4,2,4,0,0,2,5,1,1,0,0,0,0,-1111.1,-1111.1,-1111.1,-1111.1,638,1
53-45,54359,57,11.9,22.1,60.9,14.9,2.1,91.5,1.2,3.6,1.7,5.5,76.4,18.6,6.5,1.1,10.7,5.6,1.9,-2222.2,5.9,43.1,20.2,19.5,159.0,73.8,14.2,6133,1521,1812,3386,3625,3,5,20,30,8,5,1,0,7,5,7,5,9,8,0,3,22.6,26.0,25.6,10.1,6831,1
16-73,11073,1,16.2,29.4,57.4,11.4,1.8,95.0,0.2,2.9,0.7,22.5,77.3,20.8,5.4,0.7,10.2,6.6,1.9,38.4,10.8,24.7,-1111.1,17.4,132.7,49.7,17.5,2227,117,302,677,471,3,1,10,12,3,33,0,1,19,16,2,3,5,3,2,1,34.1,29.4,26.6,3.9,2924,1
12-43,11252,15,13.1,20.3,59.0,18.6,2.1,83.6,10.5,4.9,0.5,17.6,76.0,-1111.1,7.5,1.5,10.9,7.8,1.6,26.6,4.2,47.0,20.9,19.0,214.5,74.1,15.6,2446,214,350,635,600,0,2,31,14,11,6,1,0,13,6,1,2,0,2,1,3,-1111.1,-1111.1,-1111.1,6.9,1872,1
54-87,15407,32,19.9,22.1,63.1,13.0,1.8,98.9,0.3,0.1,0.3,0.9,75.2,25.4,8.0,1.0,12.3,5.1,1.4,18.2,4.7,29.6,30.2,19.5,302.4,71.2,13.8,3597,401,1113,1157,653,0,0,13,23,1,6,1,0,0,9,2,5,0,2,0,5,35.4,24.3,37.0,14.0,2589,1
40-63,13835,17,19.4,22.5,60.7,14.7,2.2,74.6,4.6,16.3,0.3,2.9,74.3,24.1,6.3,0.9,11.1,7.3,0.7,26.3,10.0,39.7,24.8,18.7,335.5,74.6,11.1,2785,371,467,870,616,0,1,14,18,6,7,0,0,12,12,4,4,3,3,0,1,32.0,22.7,29.8,6.2,2968,1
38-45,4384,4,10.5,20.1,55.4,19.7,4.9,99.5,0.1,0.2,0.1,0.5,78.3,13.9,6.5,1.4,10.6,2.2,2.6,27.2,-1111.1,11.2,-1111.1,15.4,155.8,38.8,-1111.1,800,77,78,261,131,1,1,5,6,0,0,0,0,0,1,0,0,0,1,0,0,32.4,21.8,19.3,7.8,352,1
37-113,32148,62,13.1,20.7,56.5,19.6,3.2,96.9,1.6,0.4,0.6,2.3,77.8,19.7,7.0,1.2,11.4,4.0,2.5,10.3,9.0,26.8,24.5,15.7,145.2,50.0,15.6,5312,699,1099,1980,2114,0,2,5,20,3,6,0,2,1,5,0,3,0,9,0,2,28.4,16.1,17.0,6.9,4013,2
30-97,3672,2,10.2,23.4,60.1,13.7,2.8,97.9,0.1,0.5,0.7,1.7,79.3,11.1,7.4,2.2,9.4,1.4,2.5,17.1,15.2,14.9,-1111.1,23.2,110.3,41.2,-1111.1,287,55,60,266,179,0,1,8,4,0,0,0,0,0,1,0,0,4,1,0,0,22.6,19.0,18.1,3.4,566,1
13-301,6101,21,20.1,26.3,58.1,13.3,2.2,41.0,58.5,0.2,0.2,1.1,73.4,-1111.1,13.4,2.8,15.1,8.1,1.1,17.9,14.8,67.3,29.4,23.8,100.8,68.0,-1111.1,1711,270,228,365,308,0,1,10,11,1,4,0,0,1,4,0,2,0,4,2,3,-1111.1,-1111.1,-1111.1,-1111.1,1175,1
29-145,55554,89,12.2,25.5,60.6,12.3,1.6,94.0,0.8,2.1,1.2,2.8,76.0,18.2,6.2,1.2,11.5,4.5,1.6,19.6,9.0,30.4,31.4,21.4,209.2,62.4,9.4,7468,1381,1069,3627,2617,2,5,30,37,15,13,0,0,7,5,4,3,2,13,1,3,25.0,26.5,24.2,6.1,7793,2
39-1,28454,49,14.9,25.3,61.5,11.6,1.7,98.0,0.3,0.6,0.1,0.7,73.6,-1111.1,6.7,0.8,9.7,4.8,0.9,15.0,5.1,33.7,26.3,28.2,194.8,78.6,20.9,5964,1086,1075,1948,1412,2,0,13,26,0,12,0,0,1,3,0,3,0,1,0,4,-1111.1,-1111.1,-1111.1,-1111.1,4231,1
54-7,14851,29,19.9,21.4,63.0,13.4,2.1,98.5,0.7,0.2,0.2,0.5,75.3,30.2,6.8,1.4,9.7,5.1,1.3,14.9,7.4,30.1,28.4,20.4,213.5,75.8,12.4,3468,348,788,1124,624,0,0,14,22,1,7,1,0,0,7,1,3,2,3,0,6,32.5,24.4,23.8,11.1,2318,2
27-139,119825,336,3.8,29.2,64.8,5.2,0.8,91.0,1.7,0.7,5.0,3.5,79.2,6.7,5.0,0.7,8.9,1.0,2.5,11.5,2.8,13.2,22.9,16.3,123.5,50.3,9.6,6736,2271,1181,6192,6435,18,5,69,68,52,19,3,5,6,10,2,10,93,19,0,5,13.9,21.0,16.1,3.5,7736,2
41-13,22067,7,11.8,24.2,60.0,13.7,2.1,97.6,0.1,1.1,0.4,6.6,76.2,17.9,6.0,0.7,9.4,4.2,1.4,19.0,7.5,29.0,28.8,22.8,207.7,59.1,13.1,2938,625,782,1623,1636,5,7,8,24,5,6,1,0,18,9,1,2,7,2,0,0,28.7,29.4,21.9,9.9,2826,2
29-73,15745,30,9.7,22.9,58.7,15.7,2.6,98.9,0.2,0.1,0.3,0.8,75.7,25.6,6.3,1.7,10.7,5.1,1.3,13.3,7.3,29.8,31.0,17.8,237.4,56.9,10.7,2847,432,343,1062,739,1,3,17,20,24,6,0,0,2,3,4,2,3,3,0,0,30.4,23.3,-1111.1,8.1,1340,2
17-45,19157,31,11.6,22.6,59.7,14.5,3.3,97.3,2.0,0.2,0.3,0.9,76.6,-1111.1,8.2,1.6,11.7,5.2,0.9,18.5,8.7,33.6,21.3,26.5,190.5,68.3,12.4,2495,543,391,1076,1143,0,2,17,26,1,4,2,0,4,8,4,2,2,6,0,0,-1111.1,-1111.1,-1111.1,7.8,1982,2
16-77,7753,6,14.5,31.4,57.5,9.9,1.2,96.0,0.3,3.2,0.5,25.4,77.8,14.2,6.4,0.5,8.4,5.1,1.2,27.8,2.7,24.9,29.2,15.5,164.8,36.6,-1111.1,1169,172,248,463,337,0,1,6,8,3,8,0,1,12,8,1,2,3,1,0,0,26.3,28.7,17.3,5.7,1713,2
30-71,4179,1,15.9,22.6,57.1,16.1,4.3,90.9,0.2,7.0,0.4,1.3,76.8,16.2,4.5,-1111.1,10.1,3.5,2.5,26.2,-1111.1,25.9,-1111.1,19.2,121.8,53.3,17.4,509,89,75,307,220,0,0,3,4,1,2,0,0,0,3,1,1,2,2,0,0,33.5,20.7,14.9,6.5,841,1
6-85,1699052,1316,8.8,26.4,63.2,9.1,1.3,63.2,2.8,0.8,30.6,24.5,80.2,11.9,6.3,1.0,9.0,1.8,4.0,13.4,4.0,21.8,20.9,13.6,139.7,35.7,7.6,187410,44962,42253,87537,110317,54,50,0,454,0,252,4,0,120,202,46,151,152,151,96,202,18.4,17.4,10.9,5.9,196918,2
