CHSI_State_Name,CHSI_County_Name,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,ALE,Health_Status,LBW,VLBW,Premature,Under_18,Over_40,Late_Care,Infant_Mortality,Unmarried,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,Suicide,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Ecol_Exp,Salm_Rpt,Salm_Exp,Shig_Rpt,Shig_Exp,FluB_Rpt,FluB_Exp,HepA_Rpt,HepA_Exp,HepB_Rpt,HepB_Exp,Meas_Rpt,Meas_Exp,Pert_Rpt,Pert_Exp,CRS_Rpt,CRS_Exp,Syphilis_Rpt,Syphilis_Exp,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured,HPSA_Ind
Colorado,San Miguel,7213,6.0,8.7,17.8,78.3,3.6,0.3,97.4,0.3,0.8,1.2,8.7,80.8,,7.8,1.1,10.1,0.9,5.6,18.8,0.0,18.3,,,143.6,,,354.0,228.0,207.0,564,516,0.0,2.0,5.0,7.0,2.0,3.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,951.0,2
Colorado,Sedgwick,2529,5.0,11.1,23.3,53.7,19.6,3.4,98.0,0.6,0.0,1.1,13.6,77.9,,4.9,,5.2,3.9,,16.3,,24.0,,32.4,207.0,52.0,,370.0,52.0,76.0,185,181,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,,,8.3,505.0,2
Colorado,Summit,24892,41.0,6.4,18.8,76.6,4.3,0.3,97.1,0.9,0.4,0.9,13.1,81.3,5.9,12.5,1.2,12.5,1.9,3.3,15.3,5.6,17.2,,14.8,69.0,,8.7,1236.0,655.0,657.0,1924,1880,2.0,2.0,44.0,31.0,11.0,7.0,0.0,0.0,26.0,9.0,3.0,4.0,9.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,10.2,,7.0,11.4,17.0,0.6,3707.0,2
Colorado,Teller,21918,39.0,7.6,23.8,66.9,8.7,0.6,95.8,1.0,1.0,0.7,4.5,78.2,7.6,11.0,1.5,11.2,2.6,3.2,14.1,5.7,20.2,33.6,27.2,107.0,28.6,22.6,900.0,626.0,538.0,1602,1673,3.0,6.0,8.0,23.0,3.0,18.0,1.0,0.0,6.0,8.0,5.0,2.0,0.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,16.9,76.6,9.1,,20.7,5.2,2930.0,2
Colorado,Washington,4633,2.0,10.8,24.4,56.5,17.0,2.1,98.9,0.1,0.7,0.1,7.5,77.9,,6.8,0.9,12.6,3.4,1.7,20.8,,21.2,,17.2,211.3,29.3,,576.0,110.0,116.0,336,352,2.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,11.4,,,,935.0,1
Colorado,Weld,228943,57.0,10.3,29.0,62.6,7.2,1.1,95.8,0.8,1.0,1.2,27.5,78.5,15.1,7.6,1.3,11.5,5.5,1.8,26.1,7.3,28.2,26.2,14.7,133.6,43.7,12.3,28159.0,5574.0,5254.0,15646,18793,14.0,6.0,124.0,92.0,96.0,18.0,1.0,6.0,22.0,12.0,6.0,12.0,0.0,0.0,25.0,18.0,0.0,0.0,0.0,6.0,24.5,78.4,22.0,20.3,17.7,4.8,32985.0,2
Colorado,Yuma,9789,4.0,12.1,27.8,56.1,13.4,2.6,99.1,0.2,0.3,0.1,18.4,77.9,14.9,6.6,0.9,10.7,4.2,2.0,18.6,8.8,23.4,40.8,25.6,151.2,34.7,13.4,1291.0,199.0,264.0,680,741,11.0,4.0,27.0,13.0,4.0,3.0,1.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,,89.5,13.8,,,3.7,1977.0,2
Connecticut,Fairfield,902775,1443.0,7.3,26.5,60.4,10.8,2.2,83.7,10.7,0.3,4.2,13.8,79.2,12.3,7.1,1.4,9.1,1.8,5.4,9.5,5.3,23.4,27.5,17.9,153.1,42.5,6.3,94167.0,20249.0,17472.0,61937,56172,27.0,27.0,392.0,349.0,80.0,107.0,35.0,27.0,125.0,107.0,41.0,54.0,1.0,0.0,30.0,81.0,0.0,0.0,22.0,27.0,20.6,70.3,16.3,24.0,16.4,5.1,87577.0,2
Connecticut,Hartford,877393,1193.0,9.2,24.9,60.9,11.6,2.6,81.6,13.3,0.3,3.4,12.5,77.8,11.8,8.1,1.7,10.4,3.1,3.2,14.9,6.3,36.0,25.1,18.1,147.0,48.1,7.6,104391.0,23897.0,13885.0,61574,56940,24.0,26.0,319.0,338.0,76.0,104.0,36.0,26.0,79.0,104.0,35.0,52.0,0.0,0.0,34.0,78.0,0.0,0.0,26.0,26.0,21.1,70.6,19.2,25.2,18.3,6.3,95398.0,2
Connecticut,Litchfield,190071,207.0,5.5,23.2,62.4,11.7,2.7,96.0,1.4,0.2,1.4,3.1,78.8,11.5,6.2,1.1,9.6,1.4,4.1,8.8,4.3,20.1,20.3,17.3,135.0,48.5,10.1,18746.0,4704.0,3755.0,13616,12125,10.0,6.0,55.0,84.0,7.0,17.0,9.0,6.0,14.0,11.0,2.0,11.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,6.0,19.4,69.2,17.7,23.7,18.2,5.8,14599.0,2
