State_And_County_FIPS_Code,CHSI_State_Name,CHSI_County_Name,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,ALE,Health_Status,LBW,VLBW,Premature,Under_18,Over_40,Late_Care,Infant_Mortality,Unmarried,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,Suicide,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Ecol_Exp,Salm_Rpt,Salm_Exp,Shig_Rpt,Shig_Exp,FluB_Rpt,FluB_Exp,HepA_Rpt,HepA_Exp,HepB_Rpt,HepB_Exp,Pert_Rpt,Pert_Exp,Syphilis_Rpt,Syphilis_Exp,No_Exercise,Obesity,Smoker,Diabetes,Uninsured,HPSA_Ind
1-1,Alabama,Autauga,48612,82,10.4,26.9,62.3,9.8,0.9,80.7,17.3,0.5,0.6,1.7,74.9,21.8,8.1,1.6,14.3,5.1,1.4,12.9,5.9,28.0,34.1,15.9,172.4,65.3,16.6,6690,774,1727,2680,2394,2,4,50,31,4,11,0,0,1,4,2,2,3,11,8,2,27.8,24.5,26.6,14.2,5690,2
1-3,Alabama,Baldwin,162586,102,10.2,23.5,60.3,14.5,1.8,88.4,9.9,0.5,0.4,2.3,76.6,15.4,8.6,1.9,15.3,4.3,1.9,15.3,7.1,25.4,22.5,15.3,156.5,62.1,14.3,20254,2533,4933,9354,7753,2,4,99,67,41,13,0,4,2,22,17,9,0,27,0,4,27.2,23.6,24.6,7.2,19798,2
1-5,Alabama,Barbour,28414,32,22.1,24.3,62.5,11.6,1.6,52.2,46.8,0.4,0.3,3.1,74.5,21.4,11.0,1.9,16.7,7.7,1.1,26.0,7.1,50.2,30.5,23.4,95.3,70.6,10.3,6729,569,1302,1618,1403,0,0,53,29,1,16,0,0,2,7,0,6,0,6,6,3,-,25.6,17.7,6.6,5126,2
1-7,Alabama,Bibb,21516,35,16.8,24.6,63.3,10.9,1.2,76.8,22.5,0.3,0.1,1.4,73.2,19.4,8.7,1.7,13.7,6.5,0.9,16.3,9.8,30.2,30.1,17.4,184.7,64.6,14.8,5355,358,900,1218,1034,2,2,9,32,3,16,0,0,2,14,4,4,3,6,2,6,-,-,-,13.1,3315,1
1-9,Alabama,Blount,55725,86,11.9,24.5,62.1,12.1,1.3,97.1,1.5,0.5,0.2,6.3,76.1,25.8,7.6,1.5,12.8,5.0,1.3,16.7,9.0,19.3,30.2,16.8,148.2,71.7,14.4,11181,819,2217,3164,2675,1,5,25,31,11,5,2,3,3,5,3,5,3,8,0,3,33.5,24.2,23.6,8.4,8131,1
1-11,Alabama,Bullock,11055,18,26.2,24.7,63.2,10.0,2.2,27.8,71.4,0.4,0.2,5.9,71.9,-,13.7,2.8,22.6,10.8,1.2,34.4,13.3,66.6,30.4,23.0,221.4,49.9,-,2848,327,448,626,565,0,1,17,20,7,7,0,0,1,8,1,3,0,7,4,5,-,-,-,-,2295,1
1-13,Alabama,Butler,20766,27,20.0,25.6,58.5,13.6,2.4,57.5,41.9,0.2,0.3,0.9,73.0,21.6,9.8,1.8,15.7,9.0,1.2,20.3,5.8,50.2,20.5,17.8,229.0,52.5,11.9,4363,537,976,1164,1029,0,0,23,39,5,17,0,0,0,9,5,6,0,2,7,21,24.5,22.0,27.3,9.5,4055,2
1-15,Alabama,Calhoun,112141,184,16.4,24.1,61.6,12.7,1.5,78.3,19.7,0.4,0.8,2.0,73.1,26.7,9.0,1.9,14.1,4.8,0.8,12.1,9.5,26.3,26.4,18.4,189.3,73.5,13.6,19546,2182,5722,6400,5545,0,3,31,54,33,33,1,0,2,10,7,13,0,13,7,7,29.2,27.0,25.5,11.2,16456,2
1-17,Alabama,Chambers,35460,59,16.2,24.8,59.5,13.5,2.2,60.8,38.6,0.1,0.2,1.2,73.8,32.3,9.3,2.0,15.2,7.3,0.9,17.6,7.5,49.4,25.3,13.8,110.8,63.1,12.8,8718,849,1470,2005,1647,0,2,32,29,1,9,0,0,2,4,0,4,0,2,1,2,34.7,-,11.7,17.1,5533,2
1-19,Alabama,Cherokee,24522,44,15.2,21.9,61.4,15.2,1.4,93.3,5.5,0.3,0.3,1.1,75.3,-,8.4,1.2,12.2,7.6,0.9,14.1,7.4,26.1,11.0,15.3,160.4,54.1,17.7,6398,464,1154,1436,1140,1,2,6,35,6,9,1,0,0,7,2,5,0,5,1,0,-,-,23.6,13.3,3583,1
1-21,Alabama,Chilton,41744,60,14.9,25.0,62.6,11.3,1.2,88.3,10.5,0.3,0.4,3.7,74.1,26.0,9.1,1.7,14.6,5.7,0.9,22.2,10.5,22.9,16.2,13.7,188.1,63.6,13.3,9484,685,1887,2355,2009,0,2,13,28,0,8,0,0,5,4,0,4,1,2,3,2,30.3,31.2,30.0,6.0,6130,2
1-23,Alabama,Choctaw,14807,16,18.7,24.9,59.5,13.7,2.0,55.7,43.9,0.1,0.1,0.8,74.6,29.8,10.2,1.4,13.6,7.3,0.9,24.4,10.8,42.7,30.2,21.1,221.0,65.7,9.4,3499,325,589,837,701,0,0,21,29,4,24,0,0,0,18,1,5,0,2,3,8,-,-,17.1,13.5,2677,1
1-25,Alabama,Clarke,27269,22,19.2,27.3,58.5,12.4,1.8,55.8,43.7,0.2,0.2,0.7,74.0,-,9.8,2.2,17.6,7.1,0.8,25.7,7.1,42.5,21.4,25.6,190.2,52.7,8.9,5196,594,972,1494,1290,0,0,12,28,1,15,3,0,0,7,0,6,0,6,4,3,31.5,-,-,15.8,4593,2
1-27,Alabama,Clay,13964,23,14.0,22.4,60.3,14.9,2.5,84.2,15.0,0.3,0.1,2.1,74.9,-,8.2,1.7,13.2,6.9,0.6,17.4,10.2,27.9,14.4,12.5,222.8,54.2,11.2,3333,266,624,814,664,2,1,14,18,3,4,0,0,1,11,2,4,1,1,7,4,-,-,23.9,12.2,2320,1
1-29,Alabama,Cleburne,14460,26,14.0,23.3,62.6,12.8,1.4,95.3,3.8,0.3,0.2,1.8,75.3,-,8.5,1.7,12.3,6.7,0.8,11.9,7.0,14.8,12.7,14.9,148.9,50.1,30.1,3695,234,597,833,697,1,1,15,26,4,12,0,1,1,3,0,4,1,1,2,3,-,-,-,10.5,2107,1
1-31,Alabama,Coffee,45567,67,13.7,24.5,61.1,12.9,1.5,77.9,18.5,0.9,1.2,3.2,75.9,19.1,8.9,1.2,14.8,5.4,1.1,17.1,2.9,26.9,23.8,17.7,191.7,73.8,13.1,8316,694,1940,2590,2179,1,2,85,31,81,9,0,0,1,4,0,4,5,2,2,2,23.3,25.5,23.0,10.3,6764,2
1-33,Alabama,Colbert,54660,92,14.0,23.0,60.9,14.0,2.0,81.9,16.7,0.4,0.3,1.3,75.3,20.3,10.4,1.9,15.8,5.6,0.9,15.7,8.2,31.3,34.6,25.8,171.1,64.9,15.1,10160,1203,2463,3162,2606,0,5,28,36,1,8,1,3,0,5,5,5,2,8,1,3,30.2,30.1,21.7,13.6,8141,2
1-35,Alabama,Conecuh,13257,16,22.0,25.3,59.3,13.4,2.1,55.3,44.1,0.2,0.1,0.9,73.0,19.1,12.7,2.7,19.2,6.7,1.1,30.6,14.4,49.1,25.9,19.3,189.1,58.4,13.2,2872,296,576,746,635,0,1,19,24,3,8,1,0,2,10,0,4,0,8,1,6,-,-,12.3,8.2,2657,1
1-37,Alabama,Coosa,11162,17,13.4,23.2,61.2,13.8,1.8,67.6,31.6,0.3,0.1,1.5,74.9,18.3,12.3,2.6,16.7,7.5,0.9,18.5,13.9,43.7,24.3,19.6,180.2,61.4,-,2707,231,422,645,517,0,1,4,23,5,11,1,1,0,2,0,4,0,1,15,2,-,-,-,15.0,2028,1
1-39,Alabama,Covington,37003,36,17.5,23.4,58.7,15.5,2.5,86.1,12.6,0.5,0.3,0.9,74.7,22.0,8.6,1.7,13.4,5.7,0.8,18.3,6.2,33.1,25.6,17.1,172.7,76.1,10.7,8116,686,1763,2131,1748,0,2,36,30,9,22,2,2,2,9,0,6,1,4,7,6,28.8,30.2,27.8,12.1,6094,2
1-41,Alabama,Crenshaw,13727,23,17.6,24.2,58.7,14.9,2.3,74.6,24.6,0.4,0.1,0.8,73.7,-,8.3,1.7,14.0,6.8,0.9,15.6,11.4,37.0,26.7,16.7,152.3,65.9,11.2,3755,271,692,783,651,0,0,21,20,3,7,0,0,0,7,2,3,2,3,16,5,-,-,-,-,2504,1
1-43,Alabama,Cullman,79886,108,13.3,23.9,61.3,13.3,1.5,97.3,1.2,0.4,0.3,3.1,75.3,23.8,8.8,1.2,14.5,4.6,1.2,11.0,6.9,20.7,26.6,16.7,203.6,67.7,9.1,16275,1367,3993,4572,3803,0,8,60,51,15,12,3,4,5,8,3,8,2,12,0,4,29.4,22.2,27.6,10.0,11912,2
1-45,Alabama,Dale,48748,87,15.8,27.7,59.4,11.8,1.2,75.5,20.9,0.5,1.3,3.2,75.5,23.9,8.4,1.6,14.1,4.1,0.9,12.6,7.9,28.1,19.3,20.0,195.9,72.3,10.8,7021,828,1811,2655,2280,0,2,73,42,17,17,1,0,3,5,3,5,0,7,0,5,30.4,25.0,29.3,12.1,7831,1
1-47,Alabama,Dallas,44366,45,25.0,29.0,57.4,12.1,1.5,32.4,66.9,0.1,0.3,0.6,72.1,25.1,11.6,2.5,17.6,9.1,1.1,30.5,9.6,66.6,26.1,31.5,185.3,65.9,8.4,8207,1260,2183,2378,2155,0,0,30,44,9,21,0,0,1,5,1,5,2,2,3,7,31.5,36.6,20.4,11.5,9242,2
1-49,Alabama,DeKalb,67271,86,15.1,25.0,61.2,12.3,1.6,96.0,1.8,0.8,0.3,8.8,75.1,22.0,9.1,1.4,15.8,5.5,0.9,22.0,7.7,26.6,23.1,13.7,171.9,49.9,10.9,16525,1414,2949,3790,3150,2,3,21,46,12,23,1,3,4,10,1,7,0,3,1,3,37.0,24.3,19.1,7.8,12260,2
1-51,Alabama,Elmore,73937,119,12.5,25.1,64.0,9.8,1.2,77.3,20.7,0.4,0.5,1.7,75.2,15.1,8.6,1.7,14.2,4.8,1.5,13.3,7.6,31.0,34.1,16.9,138.8,63.8,8.5,10979,1091,2028,4170,3646,3,7,70,51,15,14,1,3,5,7,0,7,3,14,8,0,27.7,24.8,22.6,5.5,8320,2
1-53,Alabama,Escambia,38082,40,18.6,24.4,61.4,12.5,1.7,64.3,31.7,2.9,0.3,1.0,73.2,31.2,11.2,2.7,16.9,6.0,1.5,21.3,12.3,43.0,32.3,14.4,221.2,67.1,11.0,8120,721,1763,2165,1834,1,0,51,38,25,21,2,0,0,10,2,8,0,8,3,4,34.3,33.7,26.1,11.4,6490,2
1-55,Alabama,Etowah,103189,193,15.7,24.0,60.3,13.9,1.8,83.8,14.6,0.3,0.5,2.4,73.5,24.1,8.5,1.3,13.6,5.9,1.0,19.1,8.7,30.2,27.7,16.2,188.6,71.7,15.7,18341,1982,4505,5897,4895,0,3,35,49,8,31,3,0,4,9,12,12,0,12,26,6,34.1,27.1,31.5,10.2,16180,2
1-57,Alabama,Fayette,18228,29,16.1,23.5,60.4,13.6,2.4,87.4,11.8,0.2,0.3,0.9,73.9,32.7,8.7,1.4,13.4,8.1,0.7,11.7,7.3,22.6,19.2,15.6,157.6,60.0,12.0,4298,315,931,1049,862,0,2,32,24,1,6,0,0,2,15,2,6,0,2,3,6,-,32.7,21.2,12.7,2358,2
1-59,Alabama,Franklin,30737,48,17.4,24.6,60.2,13.7,1.5,94.1,4.2,0.4,0.6,10.7,73.6,25.0,7.7,1.3,14.2,5.1,0.7,19.4,11.5,20.4,33.3,15.5,173.3,70.1,13.8,7922,664,1479,1742,1456,0,2,26,20,4,6,0,2,0,5,0,3,1,9,1,2,28.9,-,-,7.2,5977,2
1-61,Alabama,Geneva,25735,45,17.6,22.9,59.9,15.1,2.1,87.8,10.8,0.7,0.2,2.0,74.7,25.6,7.7,0.7,11.9,7.2,0.6,19.4,7.1,25.3,22.8,14.6,212.0,68.3,13.3,6209,409,1293,1492,1218,2,3,69,38,7,10,0,0,1,8,2,5,2,5,3,0,-,34.5,-,9.4,4759,1
1-63,Alabama,Greene,9661,15,24.9,28.0,57.9,12.0,2.1,19.9,79.7,0.1,0.2,0.7,72.7,-,13.4,3.2,18.9,9.5,1.5,37.0,10.2,70.8,39.4,16.9,151.1,51.5,15.0,2156,210,429,524,468,0,1,11,17,6,6,0,0,0,7,1,3,1,6,11,4,-,-,-,7.1,2384,1
1-65,Alabama,Hale,18316,28,20.6,26.8,60.6,10.9,1.7,40.3,59.2,0.1,0.2,0.9,72.7,-,11.5,2.9,17.0,9.0,1.1,27.0,13.8,54.1,29.5,21.4,184.8,61.7,7.0,4080,325,877,1011,912,3,0,21,31,7,14,1,0,1,7,0,5,1,2,11,17,-,-,-,5.2,3422,1
1-67,Alabama,Henry,16610,30,16.3,23.7,60.4,13.9,2.1,67.6,31.7,0.2,0.0,2.1,74.5,-,9.7,2.6,13.9,6.3,1.0,18.1,7.6,37.5,31.4,17.2,181.8,62.8,8.9,3793,294,585,951,789,0,2,28,21,10,5,0,0,1,13,2,5,2,2,6,5,-,-,-,8.0,2556,2
1-69,Alabama,Houston,94249,162,15.3,25.9,60.2,12.1,1.8,72.2,25.9,0.4,0.7,1.6,75.7,21.9,8.6,2.1,13.1,5.2,1.1,18.1,8.0,36.9,29.0,16.8,152.8,61.3,7.6,14840,1547,3259,5260,4426,6,4,162,76,44,36,1,0,2,13,8,13,9,9,7,4,32.9,29.5,25.0,8.8,14235,2
1-71,Alabama,Jackson,53650,50,14.5,23.7,61.7,13.1,1.5,92.6,3.8,1.6,0.3,1.6,74.5,22.6,9.3,1.6,14.4,4.5,0.6,13.6,6.4,27.6,26.4,19.7,187.2,69.3,12.5,12355,1219,2452,3076,2497,1,3,18,46,1,16,3,0,7,5,0,3,2,3,1,5,34.0,29.4,37.0,6.1,7294,2
1-73,Alabama,Jefferson,657229,591,14.4,25.2,61.4,11.7,1.7,56.8,41.2,0.2,1.1,2.3,73.6,17.7,10.8,2.4,16.0,4.7,2.0,18.1,11.3,40.2,27.2,22.0,145.6,59.6,11.3,83737,12866,25084,36995,31672,12,20,231,277,169,277,15,20,25,99,91,79,19,59,43,119,29.0,27.1,23.4,9.7,87428,2
1-75,Alabama,Lamar,14962,25,16.1,22.5,60.4,15.1,2.1,88.1,11.4,0.2,0.1,1.5,73.9,-,8.9,2.5,14.0,4.8,0.6,10.8,15.6,20.3,23.9,21.6,167.3,64.9,13.7,3708,316,627,871,700,0,2,17,20,7,5,0,0,0,13,1,5,0,2,4,5,-,-,-,3.2,2237,2
1-77,Alabama,Lauderdale,87691,131,15.6,22.9,61.2,14.3,1.7,88.9,9.7,0.3,0.4,1.2,76.4,23.4,9.6,1.3,17.6,3.9,1.1,7.3,5.4,26.9,25.8,18.5,133.4,60.5,12.6,14143,1922,3957,5087,4340,1,9,45,57,1,13,0,4,2,9,4,9,4,13,3,4,25.8,23.8,21.1,6.7,11424,2
1-79,Alabama,Lawrence,34605,50,14.4,24.6,62.7,11.5,1.2,79.5,12.1,5.4,0.1,1.4,74.3,28.8,8.2,1.6,12.9,5.5,1.0,13.1,5.3,28.0,19.1,14.3,207.7,59.1,10.9,8128,811,1423,1965,1650,0,2,20,24,1,7,0,0,1,3,0,3,3,2,4,2,31.9,19.9,28.5,9.2,5396,1
1-81,Alabama,Lee,123254,202,15.1,25.1,66.5,7.6,0.9,74.1,23.0,0.2,1.8,1.6,75.3,16.6,7.9,1.8,12.3,4.5,1.7,14.2,8.3,23.4,29.0,18.0,164.7,55.1,9.9,12989,1982,3886,6997,7710,0,6,173,99,37,35,0,0,10,12,3,6,0,6,4,12,25.9,21.7,27.1,7.8,17335,2
1-83,Alabama,Limestone,70469,124,11.8,24.1,64.2,10.5,1.1,85.1,13.2,0.5,0.5,3.3,75.5,18.0,9.0,1.5,14.7,5.2,1.4,15.6,7.3,25.6,20.5,18.7,167.7,48.2,13.4,12210,1370,2864,4019,3408,4,7,19,50,1,13,0,3,2,7,6,7,2,13,3,0,30.4,26.0,25.0,8.1,8934,2
1-85,Alabama,Lowndes,13076,18,23.3,29.0,58.2,11.3,1.5,27.9,71.7,0.1,0.1,0.8,71.7,-,11.6,2.4,20.2,9.9,0.5,23.5,12.6,65.0,19.9,14.2,112.1,45.4,8.2,2939,361,462,703,634,0,0,11,24,2,20,1,0,0,15,3,4,2,1,11,7,-,-,-,9.6,2951,2
1-87,Alabama,Macon,22810,37,25.8,27.0,58.6,12.4,2.0,15.7,82.8,0.1,0.9,1.0,71.9,22.8,11.1,2.6,17.5,9.3,1.6,30.2,13.0,60.5,25.9,30.8,243.7,57.1,11.7,4027,444,850,1267,1319,0,2,29,29,24,12,0,0,2,5,1,5,1,2,12,2,-,-,15.7,13.6,4325,1
1-89,Alabama,Madison,298192,370,10.9,25.5,62.5,10.9,1.1,71.7,23.5,0.8,2.1,2.2,76.1,13.7,9.2,1.5,15.1,4.0,2.3,8.5,9.1,29.3,30.9,17.0,114.2,58.2,10.6,28690,4944,9467,16746,14705,5,9,105,120,17,51,8,9,5,26,20,17,11,17,22,9,22.9,23.1,21.3,6.5,35743,2
1-91,Alabama,Marengo,21879,22,20.1,27.8,57.9,12.5,1.8,47.1,52.2,0.1,0.3,1.8,74.0,-,11.2,2.0,17.5,7.0,1.1,22.9,12.2,49.2,26.5,17.5,175.7,64.9,4.8,3964,453,857,1193,1055,1,0,43,36,19,14,4,0,0,7,2,7,0,2,7,27,-,-,15.6,11.3,4074,2
1-93,Alabama,Marion,30154,41,16.8,22.4,60.7,14.8,2.2,95.0,3.9,0.3,0.2,1.5,73.9,27.7,8.2,1.8,12.5,4.8,1.2,8.0,8.8,16.4,24.6,17.8,198.9,75.2,13.4,7912,553,1450,1758,1393,1,2,32,20,3,6,2,2,0,5,1,3,0,9,0,2,-,30.9,-,10.1,5205,2
1-95,Alabama,Marshall,85634,151,15.2,25.7,60.4,12.5,1.4,96.6,1.6,0.5,0.4,8.5,73.9,22.5,8.3,1.0,14.3,6.8,1.0,21.5,7.9,27.9,16.6,16.4,151.9,75.9,15.7,17599,1461,3402,4779,3984,3,4,37,70,7,25,1,0,8,8,8,4,4,4,7,8,34.8,27.5,31.6,7.2,14593,2
1-97,Alabama,Mobile,401427,326,18.5,27.6,60.3,10.8,1.3,62.2,34.5,0.7,1.6,1.3,73.5,19.2,11.3,2.7,18.1,6.0,1.6,15.0,10.0,41.4,30.1,20.6,186.8,65.3,10.9,59807,8140,9386,21921,19559,3,12,354,204,534,156,9,12,3,48,43,48,6,48,14,24,30.8,26.6,25.1,6.6,65687,2
1-99,Alabama,Monroe,23733,23,17.7,27.4,58.4,12.3,1.9,57.0,41.0,1.0,0.3,0.8,74.7,11.7,10.9,2.1,17.9,8.1,0.8,25.9,7.8,44.3,21.7,19.5,172.4,56.8,12.6,4953,538,802,1299,1132,0,0,43,39,16,15,1,0,1,7,1,7,2,2,5,29,-,-,-,8.1,4269,2
1-101,Alabama,Montgomery,221619,281,18.0,27.3,60.9,10.3,1.5,45.1,52.5,0.2,1.2,1.4,74.6,16.3,10.4,2.3,15.9,5.5,1.4,17.7,9.5,47.9,28.9,18.6,171.6,59.6,10.2,27476,4395,7028,12171,11178,4,13,186,127,76,120,1,7,10,27,20,27,11,13,192,27,28.2,23.9,20.7,8.5,32259,2
1-103,Alabama,Morgan,113740,195,13.2,24.8,62.0,11.8,1.4,85.7,11.8,0.7,0.7,4.6,75.2,18.3,8.7,1.5,14.3,5.3,1.3,20.0,5.2,29.0,24.9,20.7,127.1,70.7,15.5,18217,2266,4163,6428,5407,1,3,39,44,11,13,1,3,16,7,4,7,4,10,10,7,23.4,22.5,28.9,6.7,16097,2
1-105,Alabama,Perry,11371,16,28.6,31.6,54.2,12.3,1.9,30.0,69.6,0.1,0.1,0.9,73.2,-,11.9,2.7,18.3,10.7,2.0,30.8,10.2,67.7,29.9,27.7,149.0,50.3,-,2502,288,476,592,581,0,1,2,20,6,7,0,0,0,8,2,4,0,7,0,5,-,-,-,-,2776,1
1-107,Alabama,Pickens,20178,23,19.3,26.3,57.6,14.1,2.0,57.2,42.4,0.1,0.1,0.8,73.5,20.7,11.5,2.4,16.9,9.2,0.8,20.9,8.2,48.6,17.7,17.1,122.9,55.1,9.9,4021,397,872,1121,973,0,0,34,38,4,17,0,0,1,8,2,6,1,2,12,21,-,-,15.2,12.8,3606,1
1-109,Alabama,Pike,29639,44,20.3,25.4,62.0,11.4,1.2,60.2,36.8,0.6,1.0,1.6,73.7,22.0,9.3,2.0,16.7,6.8,1.0,23.1,9.1,47.9,23.5,24.9,173.3,48.4,11.9,5590,545,1040,1668,1638,0,1,51,24,7,18,0,1,1,7,1,4,0,3,4,4,24.2,29.1,16.5,11.3,5696,2
1-111,Alabama,Randolph,22717,39,15.7,25.1,58.5,14.4,2.0,76.8,22.1,0.3,0.4,1.3,74.9,17.3,9.8,2.1,16.0,7.8,0.5,16.6,9.0,34.9,30.9,23.7,204.9,51.9,17.3,5839,535,956,1281,1084,1,0,23,33,1,9,0,0,4,13,3,7,1,2,4,7,35.2,-,22.1,8.1,3575,2
1-113,Alabama,Russell,49326,77,18.6,26.3,60.1,12.2,1.4,56.1,42.1,0.3,0.6,2.1,72.1,25.4,10.3,2.6,14.7,6.2,0.9,24.2,12.9,41.6,29.6,25.9,111.8,75.4,12.3,11013,1111,1938,2738,2332,0,0,48,49,27,25,1,2,3,7,1,10,0,5,5,7,32.8,28.9,22.0,9.7,8785,2
1-115,Alabama,St. Clair,72330,114,13.1,24.2,63.7,11.0,1.1,90.3,8.2,0.4,0.3,1.3,74.9,25.2,8.2,1.8,12.5,4.9,1.3,14.4,9.3,23.3,20.0,19.5,167.4,78.8,13.3,14117,1135,3385,4123,3497,2,3,33,56,15,20,5,0,0,7,7,3,1,3,5,7,28.2,27.6,28.5,13.0,8534,1
1-117,Alabama,Shelby,171465,216,6.9,26.2,65.1,8.0,0.7,88.2,9.4,0.3,1.4,3.1,76.8,9.9,7.1,1.6,12.7,2.0,2.1,12.0,6.4,12.5,25.1,17.8,146.8,52.6,8.1,14846,2373,5133,9515,8223,1,9,40,56,8,19,1,5,22,9,1,5,0,19,4,5,18.9,20.8,21.0,4.8,13249,2
1-119,Alabama,Sumter,13819,15,26.4,28.2,57.6,11.5,2.7,24.9,74.7,0.1,0.1,1.4,73.5,19.8,11.4,2.4,18.5,8.6,1.5,29.7,14.4,63.1,24.3,17.8,147.3,57.1,9.9,2941,326,660,751,730,0,0,19,27,7,23,0,0,2,17,3,5,0,2,30,8,-,-,-,11.8,3465,2
1-121,Alabama,Talladega,80457,109,16.8,24.9,61.7,12.0,1.4,67.5,31.4,0.2,0.4,1.1,73.3,24.6,11.4,2.1,16.6,6.9,0.8,22.1,10.0,42.2,26.0,20.1,154.1,63.6,9.6,16423,1723,4701,4547,3867,0,0,29,80,7,40,1,4,3,12,9,16,1,8,63,12,34.1,32.7,24.1,10.9,12378,2
1-123,Alabama,Tallapoosa,40717,57,16.0,23.6,59.8,14.6,2.0,72.9,26.3,0.2,0.2,0.9,73.9,21.5,10.6,2.2,16.3,6.5,1.2,13.5,7.9,41.0,30.8,19.5,177.4,65.7,15.1,8472,754,1816,2338,1906,0,2,26,27,16,8,4,2,0,6,3,4,0,12,22,2,32.1,23.2,29.4,5.6,6488,2
1-125,Alabama,Tuscaloosa,168908,128,16.5,25.0,63.9,9.9,1.2,67.7,30.1,0.2,1.1,1.6,75.0,17.9,10.9,2.3,17.8,4.1,1.6,15.8,12.9,34.3,24.7,19.4,161.6,68.2,11.9,22290,2786,6263,9557,9241,6,5,123,80,83,50,1,0,1,15,6,20,0,20,7,10,27.1,25.3,23.8,7.9,23311,2
1-127,Alabama,Walker,70117,88,14.8,23.6,61.0,13.7,1.6,92.5,6.4,0.3,0.2,1.2,72.2,27.3,8.5,1.8,12.6,5.6,0.9,11.6,12.1,21.0,22.8,18.3,206.2,78.3,17.8,15989,1212,4106,4022,3280,0,4,57,49,8,25,0,4,1,11,1,7,1,4,1,4,34.9,30.5,33.8,11.5,10818,2
1-129,Alabama,Washington,17773,16,16.9,27.2,59.4,12.0,1.3,66.0,26.4,6.7,0.1,0.9,74.6,-,8.7,1.8,16.4,6.1,1.2,21.5,9.8,33.6,26.3,16.6,182.9,58.5,10.2,3236,392,709,976,848,0,0,36,32,10,27,1,0,3,20,2,5,0,2,9,9,-,-,-,10.5,3037,1
1-131,Alabama,Wilcox,12937,15,27.9,30.6,56.4,11.0,2.0,27.1,72.6,0.1,0.1,0.8,71.7,-,11.1,2.3,17.3,10.9,1.1,30.3,11.3,68.1,35.0,22.1,143.1,44.6,-,3147,307,558,679,638,0,1,3,23,1,8,0,0,0,9,3,4,0,8,3,5,-,-,-,7.6,2960,1
1-133,Alabama,Winston,24498,40,16.9,22.8,62.2,13.7,1.4,98.3,0.6,0.4,0.1,1.9,73.5,25.5,7.8,1.7,11.6,6.3,0.9,10.4,7.3,17.4,17.5,16.7,197.2,70.9,13.7,6425,475,1190,1421,1156,1,2,17,46,1,22,0,2,2,5,5,7,2,2,0,5,-,28.0,26.9,8.5,4592,1
2-13,Alaska,Aleutians East,2713,0,11.7,13.4,83.2,3.0,0.4,33.4,1.9,29.6,33.5,14.8,76.9,-,3.6,-,9.9,3.6,-,17.7,-,47.3,-,-,-,-,-,525,100,-,171,212,0,1,0,3,0,1,0,0,1,3,2,1,0,1,0,0,-,-,-,-,488,1
2-16,Alaska,Aleutians West,5382,1,7.3,14.0,83.3,2.6,0.1,48.7,3.8,18.7,26.8,12.0,76.9,-,5.0,-,8.2,2.2,2.9,18.9,-,28.2,-,-,189.5,49.1,-,897,177,-,338,409,0,2,10,6,0,2,0,0,4,3,4,1,1,3,0,0,-,-,-,-,854,1
2-20,Alaska,Anchorage,275043,162,8.7,29.9,63.7,5.8,0.6,72.0,6.2,8.5,7.7,6.4,76.9,-,6.3,1.1,10.1,2.9,3.0,15.0,5.9,32.2,21.6,15.0,116.6,56.3,15.8,16120,7950,-,14238,20542,10,16,86,104,13,56,11,8,16,24,12,16,16,24,0,8,-,-,-,-,37239,2
2-50,Alaska,Bethel,17127,0,20.9,41.2,53.8,4.6,0.4,13.4,0.6,82.0,1.3,1.1,76.9,-,5.1,1.1,14.3,4.5,2.4,29.8,12.9,43.4,-,40.4,91.2,65.5,34.3,2456,893,-,754,1236,0,2,4,19,0,50,15,2,11,25,0,5,0,5,1,2,-,-,-,-,4088,2
2-60,Alaska,Bristol Bay,1112,2,8.1,26.5,67.6,5.6,0.4,57.6,0.6,41.4,0.3,1.0,76.9,-,-,-,7.5,3.8,4.3,12.6,-,28.5,-,-,-,-,-,80,57,-,60,83,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,-,-,-,-,153,2
2-68,Alaska,Denali,1881,0,6.6,22.4,73.0,4.4,0.3,89.6,1.3,4.7,2.3,2.8,76.9,-,-,-,-,-,-,30.4,-,-,-,-,-,-,-,108,102,-,107,140,0,1,0,2,0,1,0,0,0,1,0,0,1,1,0,0,-,-,-,-,276,1
2-70,Alaska,Dillingham,4926,0,18.1,36.8,56.6,6.1,0.5,23.5,0.5,71.3,0.5,2.5,76.9,-,6.6,1.7,12.3,6.3,2.4,28.1,11.4,45.6,-,42.5,116.9,60.9,21.8,624,218,-,233,365,0,0,0,5,0,5,3,0,0,5,2,1,1,0,0,0,-,-,-,-,1133,2
2-90,Alaska,Fairbanks North Star,87560,12,7.8,31.2,63.3,4.9,0.5,79.1,5.3,7.8,2.6,5.2,76.9,-,5.5,1.0,9.4,2.8,2.2,20.4,6.9,23.7,24.7,17.7,137.0,56.0,14.7,4115,2590,-,4461,6826,5,13,32,63,2,17,6,4,3,8,8,4,0,21,0,0,-,-,-,-,11681,2
