State_And_County_FIPS_Code,CHSI_State_Name,CHSI_County_Name,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,ALE,Health_Status,LBW,VLBW,Premature,Under_18,Over_40,Late_Care,Infant_Mortality,Unmarried,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,Suicide,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Ecol_Exp,Salm_Rpt,Salm_Exp,Shig_Rpt,Shig_Exp,FluB_Rpt,FluB_Exp,HepA_Rpt,HepA_Exp,HepB_Rpt,HepB_Exp,Pert_Rpt,Pert_Exp,Syphilis_Rpt,Syphilis_Exp,No_Exercise,Obesity,Smoker,Diabetes,Uninsured,HPSA_Ind
49-29,Utah,Morgan,7906,13,4.7,31.5,58.8,8.9,0.8,98.5,0.1,0.2,0.3,1.7,80.8,8.1,5.5,0.4,9.8,2.3,2.1,13.1,4.4,7.8,-,-,149.6,21.9,16.0,332,158,110,565,317,5,2,3,8,2,6,0,0,0,3,0,1,1,2,0,0,11.4,-,10.2,3.3,643,1
49-31,Utah,Piute,1365,2,13.8,27.3,52.6,17.3,2.8,98.5,0.1,1.2,0.1,5.3,77.6,-,10.1,-,14.9,3.7,-,32.1,-,16.0,-,-,150.0,-,-,126,36,40,103,49,0,0,3,1,0,1,0,0,1,1,0,0,0,1,0,0,-,-,-,-,341,1
49-33,Utah,Rich,2051,2,7.7,30.1,56.6,11.6,1.7,99.6,0.0,0.0,0.4,2.0,80.6,-,5.6,-,10.9,2.3,-,15.3,-,7.1,-,-,103.2,-,-,104,42,71,149,80,0,0,2,2,0,1,0,0,1,2,0,1,0,1,0,0,-,-,-,-,319,1
49-35,Utah,Salt Lake,948172,1286,9.8,30.1,61.6,7.2,1.1,92.0,1.3,0.9,4.2,14.5,78.1,12.2,6.8,1.0,10.5,2.4,1.7,23.0,5.3,22.4,23.3,13.7,100.7,26.2,15.9,74965,22416,22069,68583,35169,48,28,292,358,72,110,28,28,70,110,79,55,133,83,15,28,17.3,20.1,13.6,5.2,129028,2
49-37,Utah,San Juan,14104,2,22.6,35.7,54.8,8.5,0.9,43.2,0.1,55.9,0.2,3.3,77.8,16.0,6.2,0.9,12.1,4.5,1.7,36.1,4.7,42.5,-,-,123.9,19.1,13.5,2285,417,392,950,550,1,1,17,17,65,45,1,1,79,23,1,4,2,4,5,1,22.1,19.3,8.3,5.7,2819,1
49-39,Utah,Sanpete,24044,15,13.5,33.4,55.7,9.6,1.3,96.3,0.5,1.0,1.5,8.0,77.9,16.6,7.4,1.0,11.9,3.9,2.3,21.1,5.0,16.2,25.5,15.1,148.8,26.8,14.6,2030,576,431,1679,966,7,2,50,35,2,17,1,0,26,15,5,4,1,7,0,7,18.7,19.4,10.7,6.1,4685,2
49-41,Utah,Sevier,19386,10,11.8,32.0,55.0,11.6,1.5,97.3,0.3,1.7,0.4,3.0,77.9,16.1,7.9,1.3,11.5,5.5,1.1,23.6,6.6,17.7,25.8,23.0,173.3,22.1,21.4,1591,430,413,1373,734,1,2,60,29,5,15,1,0,10,13,1,4,2,5,0,5,24.4,20.4,15.5,4.1,3222,2
49-43,Utah,Summit,35001,19,5.6,26.7,67.6,5.3,0.4,97.3,0.5,0.4,1.2,10.5,80.8,8.5,7.9,1.0,10.6,1.6,3.3,24.9,2.5,17.6,31.5,11.9,111.5,24.2,10.8,1684,835,574,2654,1310,0,5,12,17,1,3,0,0,2,3,2,2,3,3,2,0,12.9,10.2,8.7,2.4,4433,2
49-45,Utah,Tooele,51311,7,7.7,33.6,59.4,6.2,0.7,94.4,1.6,1.5,1.1,9.2,77.0,13.1,7.0,0.9,11.9,2.6,1.0,19.3,5.1,18.0,24.1,15.9,132.7,39.6,13.6,4212,1037,1224,3538,1892,2,4,17,37,4,17,1,4,5,7,3,7,5,17,0,2,22.4,25.2,16.9,7.6,5555,1
49-47,Utah,Uintah,26995,6,12.4,31.1,58.5,9.3,1.1,89.0,0.2,9.4,0.5,3.8,76.3,15.7,7.4,1.2,12.6,4.4,1.2,21.1,5.5,25.7,19.8,19.5,144.9,37.9,20.4,3197,580,667,1933,1030,2,3,9,22,1,10,0,3,1,4,9,4,2,10,0,1,24.7,24.5,20.1,7.1,4626,2
49-49,Utah,Utah,443738,222,11.2,35.6,57.9,5.6,0.9,95.8,0.4,0.6,1.8,8.3,79.0,9.6,5.6,0.9,9.2,1.1,1.4,17.4,5.7,8.4,23.7,16.2,101.4,15.5,11.3,20130,7987,7676,29744,17963,40,12,81,171,29,73,3,12,26,37,11,24,36,24,0,12,16.1,18.5,6.3,4.7,54327,2
