State_And_County_FIPS_Code	CHSI_State_Name	CHSI_County_Name	Population_Size	Population_Density	Poverty	Age_19_Under	Age_19_64	Age_65_84	Age_85_and_Over	White	Black	Native_American	Asian	Hispanic	ALE	Health_Status	LBW	VLBW	Premature	Under_18	Over_40	Late_Care	Infant_Mortality	Unmarried	Brst_Cancer	Col_Cancer	CHD	Lung_Cancer	Suicide	No_HS_Diploma	Unemployed	Sev_Work_Disabled	Major_Depression	Recent_Drug_Use	Ecol_Rpt	Ecol_Exp	Salm_Rpt	Salm_Exp	Shig_Rpt	Shig_Exp	FluB_Rpt	FluB_Exp	HepA_Rpt	HepA_Exp	HepB_Rpt	HepB_Exp	Meas_Rpt	Meas_Exp	Pert_Rpt	Pert_Exp	CRS_Rpt	CRS_Exp	Syphilis_Rpt	Syphilis_Exp	No_Exercise	Few_Fruit_Veg	Obesity	High_Blood_Pres	Smoker	Diabetes	Uninsured	HPSA_Ind
19-179	Iowa	Wapello	35965	83.0	12.2	23.5	59.8	13.8	3.0	96.9	1.4	0.4	0.7	7.1	77.1	21.1	7.5	1.2	12.6	4.5	1.1	18.3	4.5	36.7	28.2	23.1	211.2	60.9	12.4	4560.0	1134.0	691.0	2057	1319	2.0	4.0	13.0	22.0	1.0	4.0	0.0	0.0	3.0	4.0	1.0	4.0	0.0	0.0	2.0	5.0	0.0	0.0	0.0	2.0	27.6	79.8	24.8	27.2	23.9	6.2	3982.0	2
19-181	Iowa	Warren	42981	75.0	6.0	24.5	63.2	10.7	1.6	98.1	0.4	0.2	0.6	1.3	78.8	11.1	5.9	1.0	11.3	2.4	1.5	6.6	7.2	21.6	31.9	19.3	182.3	41.7	14.2	2830.0	970.0	579.0	2431	1679	4.0	6.0	17.0	23.0	18.0	4.0	0.0	0.0	2.0	4.0	1.0	2.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	21.1	81.7	26.0	26.8	20.4	6.1	2789.0	2
19-183	Iowa	Washington	21457	38.0	7.7	24.7	58.3	13.8	3.2	98.6	0.5	0.2	0.3	3.8	79.6	8.4	5.6	1.0	9.1	2.0	2.3	15.9	7.3	17.4	20.4	25.2	183.7	32.3	11.5	2566.0	502.0	299.0	1207	756	9.0	10.0	37.0	29.0	37.0	12.0	0.0	0.0	12.0	6.0	0.0	0.0	0.0	0.0	45.0	6.0	0.0	0.0	0.0	0.0	22.4	82.7	25.3	23.4	21.8	4.2	2006.0	2
19-187	Iowa	Webster	39003	55.0	10.8	24.6	58.8	13.8	2.8	93.8	3.8	0.4	1.0	2.8	77.5	16.3	5.9	1.3	11.9	3.2	1.5	14.8	8.2	41.7	28.8	20.8	222.3	59.8	11.0	4107.0	924.0	738.0	2208	1489	12.0	4.0	23.0	24.0	4.0	4.0	0.0	0.0	3.0	4.0	1.0	4.0	0.0	0.0	0.0	6.0	0.0	0.0	2.0	2.0	28.2	83.0	26.0	31.5	24.4	9.8	3832.0	2
19-189	Iowa	Winnebago	11351	28.0	8.3	23.0	58.4	14.6	4.0	98.3	0.2	0.3	0.8	2.3	78.9	9.4	6.4	1.4	10.1	3.7	1.1	17.3	5.2	25.6	28.6	16.5	194.7	37.2	10.3	1003.0	292.0	164.0	656	421	4.0	2.0	15.0	15.0	2.0	5.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	18.2	76.4	25.6	23.8	15.7	7.7	905.0	2
19-191	Iowa	Winneshiek	21234	31.0	7.8	22.4	61.7	12.9	3.1	98.1	0.7	0.1	0.9	1.0	80.8	9.2	5.0	1.1	8.2	1.7	1.8	14.0	3.8	16.3	19.4	26.1	149.8	38.3	4.5	2116.0	553.0	291.0	1242	980	16.0	4.0	27.0	28.0	0.0	8.0	0.0	0.0	4.0	4.0	0.0	2.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	29.3	78.3	19.5	19.2	13.4	4.6	1287.0	2
19-193	Iowa	Woodbury	102605	118.0	11.2	27.7	59.5	10.6	2.2	91.6	2.3	1.9	2.5	10.9	77.3	10.9	7.0	1.2	13.6	3.7	1.4	10.9	7.6	39.8	21.4	17.4	172.4	59.4	14.0	12269.0	2887.0	2984.0	5560	3731	6.0	3.0	39.0	68.0	43.0	34.0	0.0	3.0	9.0	9.0	3.0	6.0	0.0	0.0	0.0	6.0	0.0	0.0	1.0	3.0	26.1	82.9	23.0	23.9	28.6	4.6	13112.0	2
19-197	Iowa	Wright	13647	24.0	8.3	23.1	56.5	16.2	4.2	98.9	0.2	0.3	0.3	7.1	78.6	10.9	6.5	1.1	10.3	3.1	1.5	18.2	6.2	26.3	28.2	23.7	163.0	49.8	8.9	1494.0	333.0	196.0	784	477	3.0	4.0	20.0	16.0	3.0	6.0	0.0	0.0	4.0	4.0	2.0	1.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	29.0	81.2	19.3	25.2	25.7	6.4	1314.0	2
20-9	Kansas	Barton	28105	31.0	12.4	25.5	57.0	14.4	3.1	96.5	1.6	0.5	0.4	10.4	77.9	15.9	8.0	1.1	12.5	4.2	1.4	19.1	8.4	33.4	23.6	22.7	146.6	51.2	10.5	3317.0	597.0	320.0	1759	1393	3.0	4.0	22.0	17.0	5.0	3.0	0.0	1.0	42.0	3.0	0.0	1.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	26.5	80.8	27.0	31.4	22.9	8.2	3707.0	2
20-15	Kansas	Butler	62354	44.0	8.4	26.4	61.2	10.7	1.7	95.5	1.6	0.9	0.6	2.6	77.7	13.1	6.3	1.3	10.7	3.7	1.7	10.7	6.5	24.5	19.4	15.0	145.4	59.3	10.5	5147.0	1768.0	998.0	3857	3198	5.0	9.0	43.0	42.0	17.0	18.0	3.0	3.0	16.0	6.0	4.0	3.0	0.0	0.0	9.0	18.0	0.0	0.0	0.0	0.0	22.8	81.3	25.7	21.1	21.7	6.7	5781.0	2
20-35	Kansas	Cowley	35298	31.0	13.4	26.1	58.7	12.5	2.7	91.6	3.3	1.8	1.7	5.9	75.6	14.4	7.6	1.7	11.5	5.1	1.1	13.0	9.1	35.9	27.4	18.2	157.1	67.9	16.9	3331.0	1003.0	577.0	2192	1826	0.0	5.0	20.0	22.0	1.0	4.0	0.0	2.0	1.0	4.0	0.0	2.0	0.0	0.0	1.0	7.0	0.0	0.0	0.0	0.0	32.8	82.6	29.2	30.4	23.4	8.4	4344.0	2
20-37	Kansas	Crawford	38222	64.0	15.2	23.8	61.5	11.6	3.2	93.4	2.1	1.0	1.9	3.1	75.9	15.9	7.8	1.3	13.0	3.8	1.1	12.8	6.4	36.0	27.1	28.4	246.2	55.4	16.1	3691.0	1120.0	596.0	2441	2221	0.0	2.0	27.0	31.0	4.0	10.0	0.0	0.0	3.0	4.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	23.8	81.2	23.6	24.1	24.8	7.0	5017.0	2
20-41	Kansas	Dickinson	19209	23.0	9.2	23.7	58.0	15.2	3.0	97.3	0.9	0.4	0.3	3.3	77.3	14.5	7.0	1.1	10.6	3.9	1.7	13.1	6.6	24.8	22.5	17.9	198.9	47.3	12.5	1797.0	476.0	352.0	1228	941	1.0	4.0	37.0	21.0	4.0	6.0	0.0	0.0	3.0	8.0	1.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	29.2	78.4	27.0	28.9	23.8	5.8	1913.0	2
