State_And_County_FIPS_Code	CHSI_State_Name	CHSI_County_Name	Population_Size	Population_Density	Poverty	Age_19_Under	Age_19_64	Age_65_84	Age_85_and_Over	White	Black	Native_American	Asian	Hispanic	ALE	Health_Status	LBW	VLBW	Premature	Under_18	Over_40	Late_Care	Infant_Mortality	Unmarried	Brst_Cancer	Col_Cancer	CHD	Lung_Cancer	Suicide	No_HS_Diploma	Unemployed	Sev_Work_Disabled	Major_Depression	Recent_Drug_Use	Ecol_Rpt	Ecol_Exp	Salm_Rpt	Salm_Exp	Shig_Rpt	Shig_Exp	FluB_Rpt	FluB_Exp	HepA_Rpt	HepA_Exp	HepB_Rpt	HepB_Exp	Meas_Rpt	Meas_Exp	Pert_Rpt	Pert_Exp	CRS_Rpt	CRS_Exp	Syphilis_Rpt	Syphilis_Exp	No_Exercise	Few_Fruit_Veg	Obesity	High_Blood_Pres	Smoker	Diabetes	Uninsured	HPSA_Ind
25-17	Massachusetts	Middlesex	1459011	1772.0	7.6	23.4	63.8	10.8	2.0	86.1	4.2	0.2	8.3	5.0	79.3	10.7	7.2	1.3	10.2	1.0	5.3	8.6	4.1	16.5	25.6	19.6	129.0	51.4	6.1	115958.0	32756.0	32313.0	88036	133133	86.0	44.0	838.0	397.0	129.0	220.0	28.0	0.0	125.0	176.0	58.0	132.0	2.0	0.0	650.0	132.0	0.0	0.0	46.0	176.0	18.7	69.3	15.5	21.7	15.1	5.2	112192.0	2
28-1	Mississippi	Adams	32099	70.0	22.3	26.1	57.9	14.2	1.8	43.5	55.7	0.1	0.3	0.8	72.6	27.1	14.1	2.9	18.8	7.0	1.1	20.4	10.1	60.5	30.5	27.6	207.1	65.3	12.2	5686.0	1346.0	1180.0	1877	1422	0.0	0.0	77.0	37.0	13.0	14.0	0.0	0.0	1.0	2.0	2.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	7.0	30.1	80.5	28.2	47.1	25.3	12.2	6579.0	2
39-155	Ohio	Trumbull	219296	356.0	11.0	23.7	60.2	13.8	2.4	90.3	8.2	0.2	0.4	0.9	76.2	15.5	8.0	1.4	11.5	3.6	1.7	14.4	9.5	39.3	27.2	17.8	190.7	59.9	11.5	26556.0	7200.0	6717.0	15331	10567	1.0	7.0	71.0	100.0	1.0	20.0	4.0	7.0	15.0	33.0	18.0	13.0	0.0	0.0	7.0	40.0	0.0	0.0	2.0	7.0	25.8	79.1	30.1	32.4	25.0	7.8	24661.0	2
12-113	Florida	Santa Rosa	143105	141.0	10.0	25.0	63.0	11.1	0.9	90.9	4.9	0.9	1.6	3.1	76.4	14.9	7.8	1.3	13.4	3.5	2.3	9.8	5.8	26.6	21.7	20.1	168.0	67.0	15.0	13981.0	2264.0	5550.0	7635	7605	0.0	4.0	109.0	84.0	24.0	42.0	2.0	4.0	2.0	11.0	7.0	8.0	0.0	0.0	2.0	8.0	0.0	0.0	3.0	4.0	24.6	75.6	19.3	24.6	27.3	4.8	15347.0	2
51-810	Virginia	Virginia Beach City	438415	1766.0	8.0	27.9	62.5	8.5	1.1	71.5	20.0	0.4	5.4	4.7	77.8	10.0	7.3	1.7	11.5	2.1	2.4	11.5	7.1	28.5	25.6	19.2	157.2	61.7	9.8	26852.0	7681.0	5146.0	23838	20722	7.0	13.0	161.0	155.0	294.0	78.0	6.0	13.0	30.0	26.0	31.0	26.0	0.0	0.0	26.0	39.0	0.0	0.0	15.0	13.0	19.8	75.3	19.5	20.6	21.5	5.1	52101.0	2
40-135	Oklahoma	Sequoyah	40868	61.0	18.2	25.7	60.3	12.5	1.4	69.7	1.8	19.7	0.4	2.6	74.6	27.2	7.9	1.5	12.5	5.8	1.2	26.4	7.5	33.1	19.1	19.7	254.7	92.1	16.5	8074.0	978.0	1225.0	2469	1812	0.0	0.0	21.0	37.0	4.0	18.0	2.0	0.0	40.0	4.0	4.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	6.0	33.1	84.8	27.7	36.5	26.8	10.2	8039.0	2
27-13	Minnesota	Blue Earth	58030	77.0	10.3	23.2	64.9	9.6	2.3	94.5	2.1	0.3	2.3	1.8	79.3	12.4	6.0	1.1	10.2	1.9	1.6	11.4	3.8	27.8	27.6	16.8	127.0	35.9	8.6	4265.0	1175.0	769.0	3272	4067	11.0	6.0	21.0	42.0	4.0	11.0	3.0	3.0	6.0	6.0	0.0	6.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	15.4	78.5	23.2	24.2	21.2	5.5	4420.0	2
27-47	Minnesota	Freeborn	31946	45.0	8.7	22.4	58.2	16.0	3.5	98.0	0.6	0.3	0.6	6.3	79.2	15.9	6.8	1.1	9.7	4.4	2.2	14.2	6.1	36.9	25.6	20.7	138.8	36.9	11.3	4216.0	768.0	383.0	1806	1677	4.0	3.0	11.0	18.0	2.0	3.0	1.0	2.0	1.0	3.0	0.0	2.0	0.0	0.0	5.0	3.0	0.0	0.0	1.0	2.0	21.3	81.7	24.1	29.6	25.7	6.9	3258.0	2
20-87	Kansas	Jefferson	19106	36.0	7.7	24.1	62.1	11.8	2.0	96.8	0.6	1.1	0.2	1.8	77.0	13.7	6.7	1.3	11.5	3.6	1.0	9.7	8.9	21.4	15.7	21.5	153.7	54.5	11.5	1422.0	523.0	294.0	1215	970	3.0	5.0	27.0	22.0	3.0	16.0	0.0	0.0	3.0	7.0	3.0	2.0	0.0	2.0	0.0	5.0	0.0	0.0	0.0	0.0	26.3	83.5	25.1	21.9	22.6	6.1	1599.0	1
13-127	Georgia	Glynn	71874	170.0	14.9	25.8	59.9	12.5	1.9	72.0	26.0	0.3	0.7	4.1	75.4	14.2	10.1	1.9	11.7	6.5	1.9	17.4	9.7	45.0	24.0	17.9	137.2	60.1	10.5	8467.0	1718.0	2032.0	4326	3627	0.0	3.0	108.0	58.0	97.0	21.0	0.0	0.0	3.0	7.0	5.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	7.0	24.2	73.4	27.8	23.4	23.5	11.0	10982.0	2
